,University Name,Acronym,ESTD,Type,Location,Specialization,Website
67,IBAIS University,IU,2002,Private,Dhaka,General,http://www.ibaisuniv.edu.bd/
68,"Independent University, Bangladesh",IUB,1993,Private,Dhaka,General,http://www.iub.edu.bd/
69,"International Islamic University, Chittagong",IIUC,1995,Private,Chittagong,General,http://www.iiuc.ac.bd/
70,International Standard University,ISU,2018,Private,Dhaka,General,http://www.isu.ac.bd
71,International University of Business Agriculture and Technology,IUBAT,1993,Private,Dhaka,General,http://www.iubat.edu/
72,Ishakha International University[116],IIUB,2012,Private,Kishoreganj,General,http://www.ishakha.edu.bd/
73,Islamic Arabic University,IAU,2013,Public,Dhaka,Islamic,http://iau.edu.bd/
74,Islamic University of Technology,IUT,1978,International,Gazipur,Engineering and Technology (Muslim students only),http://www.iutoic-dhaka.edu/
75,"Islamic University, Bangladesh",IU,1979,Public,Kushtia,General,http://iu.ac.bd/
76,Jagannath University,JnU,2005,Public,Dhaka,General,http://jnu.ac.bd/
77,Jahangirnagar University,JU,1970,Public,"Savar, Dhaka",General,https://juniv.edu/
78,Jashore University of Science and Technology,JUST,2007,Public,Jessore,STEM,http://just.edu.bd/
79,Jatiya Kabi Kazi Nazrul Islam University,JKKNIU,2006,Public,Mymensingh,General,http://jkkniu.edu.bd/
80,Khulna Agricultural University,KAU,2019,Public,Khulna,Agricultural science,http://kau.edu.bd/
81,Khulna University,KU,1991,Public,Khulna,General,http://ku.ac.bd/
82,Khulna University of Engineering & Technology,KUET,2003,Public,Khulna,Engineering,http://kuet.ac.bd/
83,Khwaja Yunus Ali University,KYAU,2010,Private,Sirajgonj,General,http://www.kyau.edu.bd/
84,Kurigram Agricultural University,KuriAU,2022,Public,Kurigram,Agricultural science,https://kuriau.edu.bd/
85,Leading University,LU,2002,Private,Sylhet,General,http://lus.ac.bd/
86,Manarat International University,MIU,2001,Private,Dhaka,General,http://www.manarat.ac.bd/
87,Mawlana Bhashani Science and Technology University,MBSTU,1999,Public,Tangail,STEM,http://mbstu.ac.bd/
88,Metropolitan University,MU,2003,Private,Sylhet,General,http://metrouni.edu.bd/
89,Military Institute of Science and Technology|,MIST,1998,Public,Dhaka,Engineering,https://mist.ac.bd/
90,Millennium University,MU,2003,Private,Dhaka,General,http://www.themillenniumuniversity.edu.bd/
91,Mymensingh Engineering College.,MEC,2009,Public,Mymensingh,Engineering,http://mec.ac.bd/
92,NPI University of Bangladesh,NPIUB,2015,Private,Manikganj,General,https://www.npiub.edu.bd
93,National University Bangladesh,NU,1992,Public,Gazipur,link,http://www.nu.ac.bd/
94,Noakhali Science and Technology University,NSTU,2006,Public,Noakhali,STEM,http://nstu.edu.bd/
95,North Bengal International University,NBIU,2013,Private,Rajshahi,General,https://www.nbiu.edu.bd/
96,North East University Bangladesh,NEUB,2012,Private,Sylhet,General,http://neub.edu.bd/
97,North South University,NSU,1992,Private,Dhaka,General,http://www.northsouth.edu/
98,"North Western University, Bangladesh",NWU,2012,Private,Khulna,General,http://nwu.edu.bd/
99,Northern University of Business and Technology Khulna,NUB,2010,Private,Khulna,General,https://nubtkhulna.ac.bd/
100,"Northern University, Bangladesh",NUB,2002,Private,Dhaka,General,http://nub.ac.bd/
101,Notre Dame University Bangladesh,NDUB,2013,Private,Dhaka,General,http://ndub.edu.bd/
102,Pabna University of Science and Technology,PUST,2008,Public,Pabna,STEM,http://www.pust.ac.bd/
103,Patuakhali Science and Technology University,PSTU,2000,Public,Patuakhali,STEM,http://pstu.ac.bd/
104,People's University of Bangladesh[74],PUB,1996,Private,Dhaka,General,http://pub.ac.bd/
105,Port City International University,PCIU,2012,Private,Chittagong,General,https://www.portcity.edu.bd/
106,"Premier University, Chittagong",PU,2001,Private,Chittagong,General,http://puc.ac.bd/
107,Presidency University,PU,2003,Private,Dhaka,General,http://presidency.edu.bd/
108,Prime University,PU,2002,Private,Dhaka,General,https://www.primeuniversity.edu.bd/
109,Primeasia University,PAU,2003,Private,Dhaka,General,http://primeasia.edu.bd/
110,Pundra University of Science and Technology,PDUST,2001,Private,Bogra,STEM,http://www.pundrouniversity.edu.bd/
111,Queens University,QU,1996,Private,Dhaka,General,http://queensuniversity.edu.bd/
112,RTM Al-Kabir Technical University,RTM-AKTU,2020,Private,Sylhet,General,http://www.rtm-aktu.edu.bd/
113,Rabindra Maitree University,RMU,2015,Private,Kushtia,General,https://rmu.ac.bd/
114,"Rabindra University, Bangladesh",RUB,2017,Public,Sirajganj,General,http://www.rub.ac.bd/
115,Rajshahi Medical University,RMU,2017,Public,Rajshahi,Medical,http://www.rmu.edu.bd/
116,Rajshahi Science & Technology University,RSTU,2013,Private,Natore,STEM,http://rstu.edu.bd/
117,Rajshahi University of Engineering & Technology,RUET,2003,Public,Rajshahi,Engineering,http://www.ruet.ac.bd/
118,Ranada Prasad Shaha University,RPSU,2013,Private,Narayanganj,General,http://www.rpsu.edu.bd/
119,Rangamati Science and Technology University,RMSTU,2014,Public,Rangamati,STEM,http://rmstu.edu.bd/
120,Rangpur Engineering College.,REC,2014,Public,Rangpur,Engineering,http://rec.ac.bd/
121,Royal University of Dhaka,RUD,2003,Private,Dhaka,General,http://www.royal.edu.bd
122,Shahjalal University of Science and Technology,SUST,1986,Public,Sylhet,STEM,http://www.sust.edu/
123,Shanto-Mariam University of Creative Technology,SMUCT,2003,Private,Dhaka,Creative technology,http://smuct.edu.bd/
124,Sheikh Fazilatunnesa Mujib University,SFMMU,2013,Private,Jamalpur,General,http://www.sfmuniversity.org
125,Sheikh Hasina Medical University,SHMU,2020,Public,Khulna,Medical,https://shmu.ac.bd/
126,Sheikh Hasina University,SHU,2018,Public,Netrokona,General,https://www.shu.edu.bd/
127,Sher-e-Bangla Agricultural University,SAU,2001,Public,Dhaka,Agricultural Science,http://sau.edu.bd/
128,Sonargaon University,SU,2012,Private,Dhaka,General,http://su.edu.bd/
129,Southeast University,SEU,2002,Private,Dhaka,General,http://www.seu.edu.bd/
130,"Southern University, Bangladesh",SUB,2001,Private,Chittagong,General,http://www.southern.edu.bd/
131,Stamford University Bangladesh,SU,2002,Private,Dhaka,General,https://stamforduniversity.edu.bd/
132,State University of Bangladesh,SUB,2002,Private,Dhaka,General,http://sub.edu.bd/
133,Sunamganj Science and Technology University,SSTU,2020,Public,Sunamganj,STEM,https://sstu.ac.bd/
134,Sylhet Agricultural University,SAU,2006,Public,Sylhet,Agricultural Science,http://sau.ac.bd/
135,Sylhet Engineering College.,SEC,2007,Public,Sylhet,Engineering,http://sec.ac.bd/
136,Sylhet International University,SIU,2001,Private,Sylhet,General,http://siu.edu.bd/
137,Sylhet Medical University,SMU,2018,Public,Sylhet,Medical,https://smu.edu.bd/
138,Tagore University of Creative Arts,TUCA,2016,Private,Dhaka,Creative,https://www.tuca.edu.bd/
139,The International University of Scholars,IUS,2015,Private,Dhaka,General,https://ius.edu.bd/
140,Times University Bangladesh,TMUB,2013,Private,Faridpur,General,http://timesuniversitybd.com/
141,"Trust University, Barishal",TUB,2018,Private,Barisal,General,https://trustuniversity.edu.bd
142,United International University,UIU,2003,Private,Dhaka,General,http://uiu.ac.bd/
143,University of Asia Pacific (Bangladesh),UAP,1996,Private,Dhaka,General,http://www.uap-bd.edu/
144,University of Barisal,BU,2011,Public,Barisal,General,http://bu.ac.bd/
145,University of Brahmanbaria,UOB,2018,Private,Brahamanbaria,General,https://uob.edu.bd/
146,University of Chittagong,CU,1966,Public,Chittagong,General,https://cu.ac.bd/
147,University of Creative Technology Chittagong,UCTC,2015,Private,Chittagong,General,http://www.uctc.edu.bd/
148,University of Development Alternative,UODA,2002,Private,Dhaka,General,http://uoda.edu.bd/
149,University of Dhaka,DU,1921,Public,Dhaka,General,https://www.du.ac.bd/
150,University of Global Village,UIGV,2016,Private,Barisal,General,http://ugv.edu.bd/
151,University of Information Technology and Sciences,UITS,2003,Private,Dhaka,General,http://uits.edu.bd/
152,University of Liberal Arts Bangladesh,ULAB,2004,Private,Dhaka,Media studies and journalism,http://ulab.edu.bd/
153,University of Rajshahi,RU,1953,Public,Rajshahi,General,http://ru.ac.bd/
154,University of Science & Technology Chittagong,USTC,1992,Private,Chittagong,STEM,http://ustc.ac.bd/
155,University of Skill Enrichment and Technology,USET,2018,Private,Narayanganj,General,http://uset.edu.bd
156,"University of South Asia, Bangladesh",USAB,2003,Private,Dhaka,General,http://southasiauni.edu.bd/
157,Uttara University,UU,2003,Private,Dhaka,General,http://uttarauniversity.edu.bd/
158,Varendra University,VU,2012,Private,Rajshahi,General,http://vu.edu.bd/
159,Victoria University of Bangladesh,VUB,2003,Private,Dhaka,General,http://vub.edu.bd/
160,World University of Bangladesh,WUB,2003,Private,Dhaka,General,http://www.wub.edu.bd/
161,ZH Sikder University of Science & Technology,ZHSUST,2012,Private,Shariatpur,STEM,https://zhsust.edu.bd/
162,ZNRF University of Management Sciences,ZUMS,2018,Private,Dhaka,General,http://www.zums.edu.bd
